user_id,timestamp,file_accessed,access_type,location,role,failed_logins,hour,day_of_week
1118,2024-01-07 08:19:00,HR_Records,read,Remote,Manager,0,8,Sunday
1075,2024-01-06 09:42:00,HR_Records,read,Office,Employee,0,9,Saturday
1084,2024-01-06 09:08:00,Finance_Report,read,Office,Employee,0,9,Saturday
1001,2024-01-22 07:52:00,Engineering_Design,read,Office,Admin,1,7,Monday
1001,2024-01-08 10:53:00,Engineering_Design,read,Remote,Employee,0,10,Monday
1001,2024-01-05 10:27:00,Engineering_Design,write,Office,Manager,0,10,Friday
1118,2024-01-15 10:15:00,HR_Records,write,Office,Employee,0,10,Monday
1118,2024-01-26 09:10:00,Finance_Report,write,Remote,Manager,2,9,Friday
1043,2024-01-07 07:33:00,Engineering_Design,read,Office,Employee,0,7,Sunday
1034,2024-01-03 09:24:00,Engineering_Design,delete,Unknown,Employee,0,9,Wednesday
1012,2024-01-25 09:39:00,HR_Records,read,Office,Admin,1,9,Thursday
1041,2024-01-10 08:54:00,Finance_Report,read,Office,Manager,0,8,Wednesday
1047,2024-01-03 09:56:00,Finance_Report,write,Remote,Employee,0,9,Wednesday
1086,2024-01-30 10:20:00,HR_Records,write,Office,Admin,0,10,Tuesday
1104,2024-01-14 13:04:00,Engineering_Design,write,Office,Employee,0,13,Sunday
1086,2024-01-22 10:10:00,Finance_Report,write,Remote,Employee,0,10,Monday
1069,2024-01-03 10:42:00,Client_Data,read,Office,Employee,0,10,Wednesday
1088,2024-01-01 09:08:00,Client_Data,write,Remote,Manager,0,9,Monday
1082,2024-01-01 06:10:00,Engineering_Design,read,Office,Employee,1,6,Monday
1053,2024-01-19 09:36:00,Finance_Report,write,Office,Employee,0,9,Friday
1043,2024-01-04 10:40:00,Finance_Report,read,Office,Manager,0,10,Thursday
1034,2024-01-30 14:00:00,Engineering_Design,read,Office,Admin,0,14,Tuesday
1074,2024-01-02 09:25:00,Finance_Report,read,Remote,Employee,0,9,Tuesday
1115,2024-01-25 10:09:00,Client_Data,read,Office,Admin,0,10,Thursday
1069,2024-01-11 09:58:00,HR_Records,read,Office,Manager,0,9,Thursday
1112,2024-01-24 07:39:00,Engineering_Design,read,Office,Employee,0,7,Wednesday
1001,2024-01-12 12:18:00,Engineering_Design,read,Remote,Employee,0,12,Friday
1092,2024-01-13 11:15:00,Client_Data,write,Office,Manager,1,11,Saturday
1104,2024-01-16 11:44:00,Engineering_Design,read,Office,Employee,0,11,Tuesday
1069,2024-01-16 08:55:00,Engineering_Design,delete,Unknown,Manager,0,8,Tuesday
1113,2024-01-19 12:36:00,Client_Data,read,Remote,Employee,0,12,Friday
1069,2024-01-23 07:49:00,HR_Records,write,Office,Employee,0,7,Tuesday
1033,2024-01-20 11:40:00,HR_Records,delete,Remote,Admin,1,11,Saturday
1030,2024-01-21 14:03:00,Finance_Report,read,Office,Manager,0,14,Sunday
1065,2024-01-20 08:13:00,Engineering_Design,read,Office,Employee,0,8,Saturday
1112,2024-01-09 08:29:00,HR_Records,read,Remote,Employee,0,8,Tuesday
1007,2024-01-16 10:06:00,HR_Records,write,Office,Employee,0,10,Tuesday
1069,2024-01-27 08:11:00,HR_Records,write,Office,Employee,0,8,Saturday
1088,2024-01-07 06:23:00,Engineering_Design,read,Office,Employee,0,6,Sunday
1011,2024-01-13 10:38:00,Engineering_Design,read,Office,Employee,0,10,Saturday
1011,2024-01-04 07:42:00,Client_Data,write,Office,Employee,0,7,Thursday
1046,2024-01-13 10:21:00,Finance_Report,read,Office,Employee,1,10,Saturday
1034,2024-01-08 08:46:00,Engineering_Design,read,Office,Employee,0,8,Monday
1026,2024-01-02 13:29:00,Engineering_Design,write,Remote,Employee,0,13,Tuesday
1026,2024-01-07 08:59:00,Engineering_Design,delete,Office,Employee,0,8,Sunday
1011,2024-01-11 09:38:00,Finance_Report,read,Office,Manager,0,9,Thursday
1069,2024-01-17 11:19:00,HR_Records,read,Office,Manager,1,11,Wednesday
1075,2024-01-24 07:25:00,Client_Data,write,Office,Employee,0,7,Wednesday
1076,2024-01-29 10:48:00,Client_Data,read,Office,Employee,1,10,Monday
1061,2024-01-14 12:04:00,Finance_Report,delete,Office,Employee,0,12,Sunday
1115,2024-01-28 06:39:00,Client_Data,write,Office,Employee,1,6,Sunday
1107,2024-01-30 10:41:00,Finance_Report,read,Remote,Employee,0,10,Tuesday
1115,2024-01-13 10:05:00,Finance_Report,read,Remote,Admin,0,10,Saturday
1050,2024-01-15 11:52:00,Engineering_Design,read,Remote,Manager,0,11,Monday
1107,2024-01-22 07:33:00,Finance_Report,read,Office,Employee,0,7,Monday
1088,2024-01-28 07:57:00,Finance_Report,read,Office,Employee,0,7,Sunday
1043,2024-01-21 11:59:00,Finance_Report,read,Remote,Employee,0,11,Sunday
1011,2024-01-25 10:04:00,Engineering_Design,read,Office,Employee,1,10,Thursday
1074,2024-01-09 10:09:00,HR_Records,read,Office,Manager,0,10,Tuesday
1011,2024-01-03 10:27:00,HR_Records,read,Office,Employee,0,10,Wednesday
1034,2024-01-25 08:02:00,Client_Data,read,Office,Employee,0,8,Thursday
1055,2024-01-13 10:12:00,Finance_Report,read,Office,Employee,0,10,Saturday
1074,2024-01-13 10:47:00,HR_Records,write,Office,Employee,0,10,Saturday
1113,2024-01-09 08:46:00,Engineering_Design,read,Office,Admin,0,8,Tuesday
1069,2024-01-18 13:01:00,Finance_Report,write,Remote,Employee,1,13,Thursday
1073,2024-01-05 10:34:00,HR_Records,read,Office,Manager,0,10,Friday
1035,2024-01-11 07:51:00,Client_Data,read,Office,Manager,0,7,Thursday
1074,2024-01-02 11:49:00,Client_Data,read,Remote,Admin,0,11,Tuesday
1051,2024-01-17 08:51:00,HR_Records,write,Office,Employee,0,8,Wednesday
1104,2024-01-23 11:51:00,Client_Data,write,Office,Employee,0,11,Tuesday
1050,2024-01-20 12:46:00,Client_Data,write,Office,Employee,0,12,Saturday
1052,2024-01-21 08:53:00,Engineering_Design,read,Office,Employee,0,8,Sunday
1051,2024-01-04 11:27:00,Engineering_Design,read,Office,Employee,0,11,Thursday
1094,2024-01-22 10:36:00,Finance_Report,read,Office,Manager,0,10,Monday
1115,2024-01-27 11:22:00,HR_Records,delete,Remote,Employee,0,11,Saturday
1041,2024-01-18 13:42:00,Engineering_Design,read,Office,Employee,0,13,Thursday
1053,2024-01-24 09:22:00,Client_Data,delete,Remote,Employee,0,9,Wednesday
1076,2024-01-20 08:34:00,Engineering_Design,read,Remote,Employee,0,8,Saturday
1112,2024-01-08 08:40:00,HR_Records,write,Office,Employee,0,8,Monday
1054,2024-01-19 08:38:00,Finance_Report,read,Office,Employee,1,8,Friday
1011,2024-01-12 09:54:00,Engineering_Design,write,Office,Manager,0,9,Friday
1047,2024-01-28 10:31:00,Engineering_Design,read,Office,Admin,0,10,Sunday
1063,2024-01-11 10:01:00,HR_Records,read,Office,Manager,0,10,Thursday
1050,2024-01-16 11:46:00,Engineering_Design,read,Office,Employee,0,11,Tuesday
1025,2024-01-05 10:43:00,Engineering_Design,write,Office,Employee,0,10,Friday
1001,2024-01-28 12:47:00,HR_Records,read,Office,Employee,6,12,Sunday
1074,2024-01-03 09:57:00,Finance_Report,delete,Office,Admin,9,9,Wednesday
1118,2024-01-12 15:15:00,Finance_Report,read,Office,Employee,0,15,Friday
1112,2024-01-15 11:15:00,Client_Data,read,Office,Employee,1,11,Monday
1074,2024-01-16 08:50:00,Finance_Report,read,Office,Employee,0,8,Tuesday
1102,2024-01-13 07:02:00,Engineering_Design,write,Remote,Employee,0,7,Saturday
1034,2024-01-07 10:27:00,Engineering_Design,read,Remote,Employee,0,10,Sunday
1069,2024-01-15 09:28:00,Finance_Report,read,Remote,Employee,0,9,Monday
1007,2024-01-03 11:53:00,HR_Records,read,Unknown,Employee,0,11,Wednesday
1076,2024-01-12 10:19:00,Engineering_Design,read,Office,Admin,10,10,Friday
1116,2024-01-08 09:35:00,Engineering_Design,read,Office,Employee,1,9,Monday
1104,2024-01-25 08:32:00,Finance_Report,read,Remote,Manager,0,8,Thursday
1062,2024-01-29 06:21:00,HR_Records,read,Office,Employee,0,6,Monday
1091,2024-01-12 09:07:00,Engineering_Design,read,Remote,Employee,1,9,Friday
1115,2024-01-18 11:55:00,Engineering_Design,read,Office,Admin,0,11,Thursday
1031,2024-01-03 10:46:00,HR_Records,delete,Unknown,Employee,0,10,Wednesday
1091,2024-01-12 07:23:00,Engineering_Design,write,Office,Employee,0,7,Friday
1034,2024-01-29 10:52:00,Client_Data,read,Office,Manager,0,10,Monday
1107,2024-01-23 10:57:00,HR_Records,read,Office,Employee,0,10,Tuesday
1011,2024-01-21 08:53:00,Engineering_Design,read,Office,Admin,1,8,Sunday
1022,2024-01-26 10:36:00,Engineering_Design,read,Remote,Employee,1,10,Friday
1080,2024-01-23 10:19:00,Finance_Report,delete,Office,Employee,0,10,Tuesday
1020,2024-01-02 07:11:00,Engineering_Design,write,Office,Admin,0,7,Tuesday
1015,2024-01-14 10:19:00,Client_Data,read,Remote,Manager,0,10,Sunday
1065,2024-01-14 11:19:00,Client_Data,read,Office,Employee,0,11,Sunday
1101,2024-01-04 12:03:00,Finance_Report,delete,Unknown,Manager,12,12,Thursday
1034,2024-01-17 12:29:00,Client_Data,read,Remote,Employee,0,12,Wednesday
1101,2024-01-15 07:30:00,Finance_Report,read,Remote,Employee,2,7,Monday
1093,2024-01-16 08:21:00,Finance_Report,read,Unknown,Employee,0,8,Tuesday
1069,2024-01-05 11:14:00,HR_Records,write,Office,Employee,0,11,Friday
1069,2024-01-24 11:37:00,Client_Data,read,Office,Employee,0,11,Wednesday
1002,2024-01-17 11:36:00,Finance_Report,read,Office,Employee,0,11,Wednesday
1047,2024-01-23 17:27:00,Client_Data,read,Remote,Employee,0,17,Tuesday
1034,2024-01-07 11:10:00,HR_Records,read,Office,Employee,0,11,Sunday
1012,2024-01-23 12:13:00,Engineering_Design,read,Remote,Employee,1,12,Tuesday
1050,2024-01-15 11:10:00,HR_Records,read,Office,Employee,1,11,Monday
1043,2024-01-17 11:08:00,HR_Records,read,Office,Employee,0,11,Wednesday
1080,2024-01-12 09:23:00,Client_Data,read,Office,Employee,0,9,Friday
1069,2024-01-11 11:09:00,HR_Records,read,Office,Employee,0,11,Thursday
1112,2024-01-19 08:37:00,Engineering_Design,delete,Remote,Employee,0,8,Friday
1012,2024-01-11 09:42:00,Client_Data,read,Office,Employee,14,9,Thursday
1007,2024-01-02 09:40:00,Client_Data,write,Remote,Employee,0,9,Tuesday
1062,2024-01-15 10:36:00,Engineering_Design,read,Office,Employee,1,10,Monday
1000,2024-01-05 14:41:00,Engineering_Design,read,Office,Manager,0,14,Friday
1091,2024-01-18 06:31:00,Engineering_Design,read,Remote,Manager,0,6,Thursday
1055,2024-01-29 11:19:00,HR_Records,read,Office,Admin,0,11,Monday
1053,2024-01-30 06:13:00,Finance_Report,read,Remote,Employee,0,6,Tuesday
1045,2024-01-21 09:37:00,Finance_Report,read,Office,Employee,1,9,Sunday
1048,2024-01-21 12:03:00,Finance_Report,read,Office,Employee,0,12,Sunday
1051,2024-01-16 10:23:00,Finance_Report,write,Remote,Employee,1,10,Tuesday
1001,2024-01-04 07:31:00,Finance_Report,delete,Office,Admin,1,7,Thursday
1009,2024-01-27 08:54:00,Finance_Report,read,Unknown,Employee,1,8,Saturday
1055,2024-01-23 11:52:00,Finance_Report,read,Remote,Admin,0,11,Tuesday
1012,2024-01-10 08:09:00,Engineering_Design,read,Office,Admin,0,8,Wednesday
1088,2024-01-22 10:53:00,HR_Records,write,Office,Manager,1,10,Monday
1034,2024-01-02 10:42:00,Engineering_Design,delete,Office,Employee,0,10,Tuesday
1011,2024-01-15 08:15:00,Client_Data,read,Office,Employee,0,8,Monday
1033,2024-01-04 14:38:00,Finance_Report,write,Office,Employee,1,14,Thursday
1045,2024-01-29 11:31:00,HR_Records,write,Office,Manager,0,11,Monday
1001,2024-01-16 05:17:00,Engineering_Design,write,Remote,Employee,0,5,Tuesday
1012,2024-01-30 10:24:00,Client_Data,write,Unknown,Employee,0,10,Tuesday
1039,2024-01-27 08:06:00,HR_Records,read,Office,Employee,0,8,Saturday
1035,2024-01-07 11:55:00,HR_Records,write,Office,Employee,1,11,Sunday
1092,2024-01-25 08:52:00,HR_Records,read,Office,Employee,0,8,Thursday
1102,2024-01-25 09:46:00,Engineering_Design,read,Office,Employee,0,9,Thursday
1025,2024-01-12 11:50:00,Client_Data,read,Office,Employee,1,11,Friday
1011,2024-01-03 11:17:00,Engineering_Design,write,Office,Employee,1,11,Wednesday
1069,2024-01-17 07:46:00,Engineering_Design,write,Remote,Employee,0,7,Wednesday
1092,2024-01-09 09:17:00,Engineering_Design,read,Remote,Employee,0,9,Tuesday
1116,2024-01-08 09:02:00,Finance_Report,read,Remote,Employee,1,9,Monday
1001,2024-01-23 08:00:00,Engineering_Design,write,Remote,Employee,0,8,Tuesday
1050,2024-01-06 13:32:00,Finance_Report,write,Office,Employee,0,13,Saturday
1081,2024-01-30 10:06:00,Finance_Report,read,Office,Employee,0,10,Tuesday
1096,2024-01-15 07:09:00,Finance_Report,delete,Office,Employee,0,7,Monday
1007,2024-01-10 11:43:00,Engineering_Design,read,Remote,Employee,0,11,Wednesday
1074,2024-01-23 14:58:00,Engineering_Design,read,Office,Employee,0,14,Tuesday
